gene,ontology,term_id,term_name,evidence
ZNF335,BP,GO:0050671,positive regulation of lymphocyte proliferation,IMP
ZNF335,BP,GO:0050767,regulation of neurogenesis,IEA
ZNF335,BP,GO:0050769,positive regulation of neurogenesis,IBA
ZNF335,BP,GO:0050769,positive regulation of neurogenesis,IEA
ZNF335,BP,GO:0050769,positive regulation of neurogenesis,IMP
ZNF335,MF,GO:0000976,transcription cis-regulatory region binding,IEA
ZNF335,MF,GO:0000976,transcription cis-regulatory region binding,ISS
ZNF335,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IBA
ZNF335,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IEA
ZNF335,MF,GO:0003677,DNA binding,IEA
ZNF335,MF,GO:0005515,protein binding,IPI
ZNF335,MF,GO:0008270,zinc ion binding,IEA
ZNF335,MF,GO:0046872,metal ion binding,IEA
ZNF335,MF,GO:1990226,histone methyltransferase binding,IEA
ZNF335,CC,GO:0005634,nucleus,IBA
ZNF335,CC,GO:0005634,nucleus,IEA
ZNF335,CC,GO:0005634,nucleus,ISS
ZNF335,CC,GO:0005654,nucleoplasm,IDA
ZNF335,CC,GO:0035097,histone methyltransferase complex,IDA
ZNF335,CC,GO:0035097,histone methyltransferase complex,IEA
ATF3,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,IDA
ATF3,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,IEA
ATF3,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,TAS
ATF3,BP,GO:0006094,gluconeogenesis,IEA
ATF3,BP,GO:0006355,regulation of DNA-templated transcription,IEA
ATF3,BP,GO:0006357,regulation of transcription by RNA polymerase II,IBA
ATF3,BP,GO:0006357,regulation of transcription by RNA polymerase II,IDA
ATF3,BP,GO:0006357,regulation of transcription by RNA polymerase II,IEA
ATF3,BP,GO:0006357,regulation of transcription by RNA polymerase II,NAS
ATF3,BP,GO:0008284,positive regulation of cell population proliferation,IEA
ATF3,BP,GO:0010628,positive regulation of gene expression,IEA
ATF3,BP,GO:0030968,endoplasmic reticulum unfolded protein response,IEA
ATF3,BP,GO:0034198,cellular response to amino acid starvation,IEA
ATF3,BP,GO:0034976,response to endoplasmic reticulum stress,IDA
ATF3,BP,GO:0035914,skeletal muscle cell differentiation,IEA
ATF3,BP,GO:0045892,negative regulation of DNA-templated transcription,IEA
ATF3,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IDA
ATF3,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IEA
ATF3,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,ISS
ATF3,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,NAS
ATF3,BP,GO:0070373,negative regulation of ERK1 and ERK2 cascade,IEA
ATF3,BP,GO:1903984,positive regulation of TRAIL-activated apoptotic signaling pathway,IMP
ATF3,MF,GO:0000976,transcription cis-regulatory region binding,IDA
ATF3,MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,IDA
ATF3,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IBA
ATF3,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,IEA
ATF3,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,ISS
ATF3,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",IBA
ATF3,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",ISA
ATF3,MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",IDA
ATF3,MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",IEA
ATF3,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IDA
ATF3,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",IEA
ATF3,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",ISS
ATF3,MF,GO:0003677,DNA binding,IEA
ATF3,MF,GO:0003700,DNA-binding transcription factor activity,IEA
ATF3,MF,GO:0003700,DNA-binding transcription factor activity,IGI
ATF3,MF,GO:0005515,protein binding,IPI
ATF3,MF,GO:0042802,identical protein binding,IPI
ATF3,MF,GO:0042803,protein homodimerization activity,IPI
ATF3,MF,GO:0046982,protein heterodimerization activity,IPI
ATF3,MF,GO:1990837,sequence-specific double-stranded DNA binding,IDA
ATF3,MF,GO:1990837,sequence-specific double-stranded DNA binding,IEA
ATF3,CC,GO:0000785,chromatin,ISA
ATF3,CC,GO:0005634,nucleus,IBA
ATF3,CC,GO:0005634,nucleus,IDA
ATF3,CC,GO:0005634,nucleus,IEA
ATF3,CC,GO:0005634,nucleus,NAS
ATF3,CC,GO:0005654,nucleoplasm,IDA
ATF3,CC,GO:0005654,nucleoplasm,TAS
ATF3,CC,GO:0005730,nucleolus,IDA
ATF3,CC,GO:0005794,Golgi apparatus,IDA
ATF3,CC,GO:0005813,centrosome,IDA
ATF3,CC,GO:0016604,nuclear body,IDA
ATF3,CC,GO:0036064,ciliary basal body,IDA
ATF3,CC,GO:0090575,RNA polymerase II transcription regulator complex,IPI
ATF3,CC,GO:1990622,CHOP-ATF3 complex,IDA
STAG1,BP,GO:0007059,chromosome segregation,IEA
STAG1,BP,GO:0007062,sister chromatid cohesion,IBA
STAG1,BP,GO:0034087,establishment of mitotic sister chromatid cohesion,NAS
STAG1,BP,GO:0051301,cell division,IEA
STAG1,BP,GO:0090307,mitotic spindle assembly,IMP
STAG1,MF,GO:0003682,chromatin binding,IBA
STAG1,MF,GO:0003682,chromatin binding,IEA
STAG1,MF,GO:0005515,protein binding,IPI
STAG1,CC,GO:0000775,"chromosome, centromeric region",IEA
STAG1,CC,GO:0000775,"chromosome, centromeric region",TAS
STAG1,CC,GO:0000785,chromatin,IBA
STAG1,CC,GO:0000785,chromatin,IDA
STAG1,CC,GO:0000785,chromatin,IEA
STAG1,CC,GO:0005634,nucleus,IBA
STAG1,CC,GO:0005634,nucleus,IEA
STAG1,CC,GO:0005634,nucleus,NAS
STAG1,CC,GO:0005634,nucleus,TAS
STAG1,CC,GO:0005654,nucleoplasm,IDA
STAG1,CC,GO:0005654,nucleoplasm,TAS
STAG1,CC,GO:0005694,chromosome,IEA
STAG1,CC,GO:0005694,chromosome,TAS
STAG1,CC,GO:0005829,cytosol,TAS
STAG1,CC,GO:0005929,cilium,IDA
STAG1,CC,GO:0008278,cohesin complex,IBA
STAG1,CC,GO:0008278,cohesin complex,IDA
STAG1,CC,GO:0016363,nuclear matrix,IDA
STAG1,CC,GO:0016604,nuclear body,IDA
STAG1,CC,GO:0030892,mitotic cohesin complex,ISS
STAG1,CC,GO:0097431,mitotic spindle pole,IDA
CCDC62,BP,GO:0001835,blastocyst hatching,IEA
CCDC62,BP,GO:0007286,spermatid development,IEA
CCDC62,BP,GO:0007286,spermatid development,IMP
CCDC62,BP,GO:0030520,estrogen receptor signaling pathway,IDA
CCDC62,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IDA
CCDC62,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IPI
CCDC62,BP,GO:0071392,cellular response to estradiol stimulus,IDA
CCDC62,MF,GO:0003713,transcription coactivator activity,IPI
CCDC62,MF,GO:0005515,protein binding,IPI
CCDC62,MF,GO:0030331,nuclear estrogen receptor binding,IPI
CCDC62,CC,GO:0001669,acrosomal vesicle,IDA
CCDC62,CC,GO:0001669,acrosomal vesicle,IEA
CCDC62,CC,GO:0005634,nucleus,IDA
CCDC62,CC,GO:0005634,nucleus,IEA
CCDC62,CC,GO:0005737,cytoplasm,IEA
CCDC62,CC,GO:0005815,microtubule organizing center,IBA
CCDC62,CC,GO:0031410,cytoplasmic vesicle,IEA
TXNL4B,BP,GO:0000398,"mRNA splicing, via spliceosome",IEA
TXNL4B,BP,GO:0006397,mRNA processing,IEA
TXNL4B,BP,GO:0008380,RNA splicing,IEA
TXNL4B,CC,GO:0005634,nucleus,IEA
TXNL4B,CC,GO:0005654,nucleoplasm,IDA
TXNL4B,CC,GO:0005681,spliceosomal complex,IBA
TXNL4B,CC,GO:0005682,U5 snRNP,IBA
TXNL4B,CC,GO:0005829,cytosol,IDA
TXNL4B,CC,GO:0046540,U4/U6 x U5 tri-snRNP complex,IBA
TXNL4B,CC,GO:0046540,U4/U6 x U5 tri-snRNP complex,IEA
ISG15,BP,GO:0002376,immune system process,IEA
ISG15,BP,GO:0002682,regulation of immune system process,IEA
ISG15,BP,GO:0007229,integrin-mediated signaling pathway,IDA
ISG15,BP,GO:0009615,response to virus,IDA
ISG15,BP,GO:0009615,response to virus,IEP
ISG15,BP,GO:0009617,response to bacterium,IEA
ISG15,BP,GO:0016567,protein ubiquitination,IBA
ISG15,BP,GO:0019941,modification-dependent protein catabolic process,IBA
ISG15,BP,GO:0019941,modification-dependent protein catabolic process,IEA
ISG15,BP,GO:0030501,positive regulation of bone mineralization,IEA
ISG15,BP,GO:0030501,positive regulation of bone mineralization,ISS
ISG15,BP,GO:0031397,negative regulation of protein ubiquitination,IDA
ISG15,BP,GO:0032020,ISG15-protein conjugation,IBA
ISG15,BP,GO:0032020,ISG15-protein conjugation,IDA
ISG15,BP,GO:0032020,ISG15-protein conjugation,IEA
ISG15,BP,GO:0032020,ISG15-protein conjugation,IEA
ISG15,BP,GO:0032020,ISG15-protein conjugation,IMP
ISG15,BP,GO:0032461,positive regulation of protein oligomerization,IDA
ISG15,BP,GO:0032649,regulation of type II interferon production,IMP
ISG15,BP,GO:0032728,positive regulation of interferon-beta production,IDA
ISG15,BP,GO:0032729,positive regulation of type II interferon production,IDA
ISG15,BP,GO:0032733,positive regulation of interleukin-10 production,IDA
ISG15,BP,GO:0034340,response to type I interferon,IDA
ISG15,BP,GO:0042742,defense response to bacterium,IEA
ISG15,BP,GO:0042742,defense response to bacterium,IMP
ISG15,BP,GO:0045071,negative regulation of viral genome replication,IDA
ISG15,BP,GO:0045071,negative regulation of viral genome replication,IMP
ISG15,BP,GO:0045087,innate immune response,IDA
ISG15,BP,GO:0045087,innate immune response,IEA
ISG15,BP,GO:0045648,positive regulation of erythrocyte differentiation,IEA
ISG15,BP,GO:0051240,positive regulation of multicellular organismal process,IEA
ISG15,BP,GO:0051607,defense response to virus,IDA
ISG15,BP,GO:0051607,defense response to virus,IEA
ISG15,BP,GO:0051607,defense response to virus,IMP
ISG15,BP,GO:0060339,negative regulation of type I interferon-mediated signaling pathway,IMP
ISG15,BP,GO:0070585,protein localization to mitochondrion,IDA
ISG15,MF,GO:0005178,integrin binding,IPI
ISG15,MF,GO:0005515,protein binding,IPI
ISG15,MF,GO:0031386,protein tag activity,IBA
ISG15,MF,GO:0031386,protein tag activity,IDA
ISG15,MF,GO:0031386,protein tag activity,IEA
ISG15,MF,GO:0031625,ubiquitin protein ligase binding,IBA
ISG15,CC,GO:0005576,extracellular region,IDA
ISG15,CC,GO:0005576,extracellular region,IEA
ISG15,CC,GO:0005634,nucleus,IBA
ISG15,CC,GO:0005654,nucleoplasm,TAS
ISG15,CC,GO:0005737,cytoplasm,IBA
ISG15,CC,GO:0005737,cytoplasm,IC
ISG15,CC,GO:0005737,cytoplasm,IEA
ISG15,CC,GO:0005829,cytosol,TAS
LATS1,BP,GO:0000082,G1/S transition of mitotic cell cycle,IBA
LATS1,BP,GO:0000086,G2/M transition of mitotic cell cycle,IDA
LATS1,BP,GO:0000819,sister chromatid segregation,IDA
LATS1,BP,GO:0001827,inner cell mass cell fate commitment,IEA
LATS1,BP,GO:0001828,inner cell mass cellular morphogenesis,IEA
LATS1,BP,GO:0006468,protein phosphorylation,IDA
LATS1,BP,GO:0008104,protein localization,IEA
LATS1,BP,GO:0009755,hormone-mediated signaling pathway,IEA
LATS1,BP,GO:0009755,hormone-mediated signaling pathway,ISS
LATS1,BP,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,IEA
LATS1,BP,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,ISS
LATS1,BP,GO:0030216,keratinocyte differentiation,IEA
LATS1,BP,GO:0030833,regulation of actin filament polymerization,IDA
LATS1,BP,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,IMP
LATS1,BP,GO:0035329,hippo signaling,IBA
LATS1,BP,GO:0035329,hippo signaling,IDA
LATS1,BP,GO:0035329,hippo signaling,IDA
LATS1,BP,GO:0035329,hippo signaling,IEA
LATS1,BP,GO:0035329,hippo signaling,IEA
LATS1,BP,GO:0035329,hippo signaling,TAS
LATS1,BP,GO:0035332,positive regulation of hippo signaling,IDA
LATS1,BP,GO:0043065,positive regulation of apoptotic process,IBA
LATS1,BP,GO:0043254,regulation of protein-containing complex assembly,IMP
LATS1,BP,GO:0044546,NLRP3 inflammasome complex assembly,IDA
LATS1,BP,GO:0044772,mitotic cell cycle phase transition,IEA
LATS1,BP,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,IDA
LATS1,BP,GO:0046620,regulation of organ growth,IBA
LATS1,BP,GO:0051301,cell division,IEA
LATS1,BP,GO:0060644,mammary gland epithelial cell differentiation,IMP
LATS1,BP,GO:0090090,negative regulation of canonical Wnt signaling pathway,IEA
LATS1,BP,GO:0090090,negative regulation of canonical Wnt signaling pathway,IMP
LATS1,BP,GO:0099151,regulation of postsynaptic density assembly,IEA
LATS1,BP,GO:1900181,negative regulation of protein localization to nucleus,IEA
LATS1,BP,GO:1900181,negative regulation of protein localization to nucleus,IMP
LATS1,BP,GO:1900181,negative regulation of protein localization to nucleus,ISS
LATS1,BP,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,IDA
LATS1,BP,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,IDA
LATS1,BP,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,IEA
LATS1,BP,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,IMP
LATS1,MF,GO:0000166,nucleotide binding,IEA
LATS1,MF,GO:0000287,magnesium ion binding,IDA
LATS1,MF,GO:0004672,protein kinase activity,IEA
LATS1,MF,GO:0004674,protein serine/threonine kinase activity,IBA
LATS1,MF,GO:0004674,protein serine/threonine kinase activity,IDA
LATS1,MF,GO:0004674,protein serine/threonine kinase activity,IEA
LATS1,MF,GO:0004674,protein serine/threonine kinase activity,TAS
LATS1,MF,GO:0005515,protein binding,IPI
LATS1,MF,GO:0005524,ATP binding,IDA
LATS1,MF,GO:0005524,ATP binding,IEA
LATS1,MF,GO:0016301,kinase activity,IEA
LATS1,MF,GO:0016740,transferase activity,IEA
LATS1,MF,GO:0019901,protein kinase binding,IPI
LATS1,MF,GO:0030331,nuclear estrogen receptor binding,IPI
LATS1,MF,GO:0046872,metal ion binding,IEA
LATS1,MF,GO:0106310,protein serine kinase activity,IEA
LATS1,CC,GO:0000922,spindle pole,IBA
LATS1,CC,GO:0000922,spindle pole,IDA
LATS1,CC,GO:0000922,spindle pole,IEA
LATS1,CC,GO:0005634,nucleus,ISS
LATS1,CC,GO:0005737,cytoplasm,IDA
LATS1,CC,GO:0005737,cytoplasm,IEA
LATS1,CC,GO:0005813,centrosome,IEA
LATS1,CC,GO:0005815,microtubule organizing center,IDA
LATS1,CC,GO:0005819,spindle,IEA
LATS1,CC,GO:0005829,cytosol,TAS
LATS1,CC,GO:0005856,cytoskeleton,IEA
LATS1,CC,GO:0030496,midbody,IEA
LATS1,CC,GO:0098794,postsynapse,IEA
LATS1,CC,GO:0098978,glutamatergic synapse,IEA
ZC3H12A,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,IDA
ZC3H12A,BP,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",ISS
ZC3H12A,BP,GO:0001525,angiogenesis,IEA
ZC3H12A,BP,GO:0001933,negative regulation of protein phosphorylation,ISS
ZC3H12A,BP,GO:0002230,positive regulation of defense response to virus by host,IDA
ZC3H12A,BP,GO:0002376,immune system process,IEA
ZC3H12A,BP,GO:0002757,immune response-activating signaling pathway,IDA
ZC3H12A,BP,GO:0006402,mRNA catabolic process,IEA
ZC3H12A,BP,GO:0006915,apoptotic process,IEA
ZC3H12A,BP,GO:0006954,inflammatory response,IEA
ZC3H12A,BP,GO:0006974,DNA damage response,IEA
ZC3H12A,BP,GO:0006974,DNA damage response,IMP
ZC3H12A,BP,GO:0007399,nervous system development,IEA
ZC3H12A,BP,GO:0010468,regulation of gene expression,IDA
ZC3H12A,BP,GO:0010508,positive regulation of autophagy,IDA
ZC3H12A,BP,GO:0010508,positive regulation of autophagy,IEA
ZC3H12A,BP,GO:0010587,miRNA catabolic process,IDA
ZC3H12A,BP,GO:0010595,positive regulation of endothelial cell migration,IDA
ZC3H12A,BP,GO:0010628,positive regulation of gene expression,IDA
ZC3H12A,BP,GO:0010629,negative regulation of gene expression,IEA
ZC3H12A,BP,GO:0010656,negative regulation of muscle cell apoptotic process,IEA
ZC3H12A,BP,GO:0010656,negative regulation of muscle cell apoptotic process,ISS
ZC3H12A,BP,GO:0010884,positive regulation of lipid storage,IDA
ZC3H12A,BP,GO:0010884,positive regulation of lipid storage,IEA
ZC3H12A,BP,GO:0016579,protein deubiquitination,IDA
ZC3H12A,BP,GO:0030154,cell differentiation,IEA
ZC3H12A,BP,GO:0032689,negative regulation of type II interferon production,IEA
ZC3H12A,BP,GO:0032689,negative regulation of type II interferon production,ISS
ZC3H12A,BP,GO:0032691,negative regulation of interleukin-1 beta production,IEA
ZC3H12A,BP,GO:0032691,negative regulation of interleukin-1 beta production,ISS
ZC3H12A,BP,GO:0032715,negative regulation of interleukin-6 production,IDA
ZC3H12A,BP,GO:0032715,negative regulation of interleukin-6 production,IEA
ZC3H12A,BP,GO:0032715,negative regulation of interleukin-6 production,ISS
ZC3H12A,BP,GO:0032720,negative regulation of tumor necrosis factor production,IDA
ZC3H12A,BP,GO:0032720,negative regulation of tumor necrosis factor production,IEA
ZC3H12A,BP,GO:0032720,negative regulation of tumor necrosis factor production,ISS
ZC3H12A,BP,GO:0034599,cellular response to oxidative stress,IEA
ZC3H12A,BP,GO:0034599,cellular response to oxidative stress,ISS
ZC3H12A,BP,GO:0042149,cellular response to glucose starvation,IEA
ZC3H12A,BP,GO:0042149,cellular response to glucose starvation,ISS
ZC3H12A,BP,GO:0042307,positive regulation of protein import into nucleus,IDA
ZC3H12A,BP,GO:0043031,negative regulation of macrophage activation,IDA
ZC3H12A,BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,IDA
ZC3H12A,BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,IEA
ZC3H12A,BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,IMP
ZC3H12A,BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,ISS
ZC3H12A,BP,GO:0044828,negative regulation by host of viral genome replication,IDA
ZC3H12A,BP,GO:0045019,negative regulation of nitric oxide biosynthetic process,IDA
ZC3H12A,BP,GO:0045019,negative regulation of nitric oxide biosynthetic process,IEA
ZC3H12A,BP,GO:0045600,positive regulation of fat cell differentiation,IDA
ZC3H12A,BP,GO:0045600,positive regulation of fat cell differentiation,IEA
ZC3H12A,BP,GO:0045766,positive regulation of angiogenesis,IDA
ZC3H12A,BP,GO:0045766,positive regulation of angiogenesis,IMP
ZC3H12A,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IDA
ZC3H12A,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,IEA
ZC3H12A,BP,GO:0050852,T cell receptor signaling pathway,IEA
ZC3H12A,BP,GO:0050852,T cell receptor signaling pathway,ISS
ZC3H12A,BP,GO:0051259,protein complex oligomerization,IDA
ZC3H12A,BP,GO:0051607,defense response to virus,IEA
ZC3H12A,BP,GO:0055118,negative regulation of cardiac muscle contraction,IEA
ZC3H12A,BP,GO:0055118,negative regulation of cardiac muscle contraction,ISS
ZC3H12A,BP,GO:0061014,positive regulation of mRNA catabolic process,IDA
ZC3H12A,BP,GO:0061014,positive regulation of mRNA catabolic process,IEA
ZC3H12A,BP,GO:0061014,positive regulation of mRNA catabolic process,ISS
ZC3H12A,BP,GO:0061158,3'-UTR-mediated mRNA destabilization,IBA
ZC3H12A,BP,GO:0061158,3'-UTR-mediated mRNA destabilization,IDA
ZC3H12A,BP,GO:0061158,3'-UTR-mediated mRNA destabilization,IEA
ZC3H12A,BP,GO:0061158,3'-UTR-mediated mRNA destabilization,ISS
ZC3H12A,BP,GO:0071222,cellular response to lipopolysaccharide,IDA
ZC3H12A,BP,GO:0071222,cellular response to lipopolysaccharide,IEA
ZC3H12A,BP,GO:0071222,cellular response to lipopolysaccharide,IMP
ZC3H12A,BP,GO:0071347,cellular response to interleukin-1,ISS
ZC3H12A,BP,GO:0071356,cellular response to tumor necrosis factor,IDA
ZC3H12A,BP,GO:0098586,cellular response to virus,IDA
ZC3H12A,BP,GO:1900016,negative regulation of cytokine production involved in inflammatory response,IEA
ZC3H12A,BP,GO:1900016,negative regulation of cytokine production involved in inflammatory response,ISS
ZC3H12A,BP,GO:1900119,positive regulation of execution phase of apoptosis,IEA
ZC3H12A,BP,GO:1900119,positive regulation of execution phase of apoptosis,ISS
ZC3H12A,BP,GO:1900745,positive regulation of p38MAPK cascade,IDA
ZC3H12A,BP,GO:1901223,negative regulation of non-canonical NF-kappaB signal transduction,IEA
ZC3H12A,BP,GO:1901223,negative regulation of non-canonical NF-kappaB signal transduction,ISS
ZC3H12A,BP,GO:1903003,positive regulation of protein deubiquitination,IMP
ZC3H12A,BP,GO:1903936,cellular response to sodium arsenite,IEA
ZC3H12A,BP,GO:1903936,cellular response to sodium arsenite,ISS
ZC3H12A,BP,GO:1904637,cellular response to ionomycin,IEA
ZC3H12A,BP,GO:1904637,cellular response to ionomycin,ISS
ZC3H12A,BP,GO:1990869,cellular response to chemokine,IDA
ZC3H12A,BP,GO:1990869,cellular response to chemokine,IEA
ZC3H12A,BP,GO:2000320,negative regulation of T-helper 17 cell differentiation,IEA
ZC3H12A,BP,GO:2000320,negative regulation of T-helper 17 cell differentiation,ISS
ZC3H12A,BP,GO:2000379,positive regulation of reactive oxygen species metabolic process,IDA
ZC3H12A,BP,GO:2000627,positive regulation of miRNA catabolic process,IDA
ZC3H12A,MF,GO:0003677,DNA binding,IDA
ZC3H12A,MF,GO:0003677,DNA binding,IEA
ZC3H12A,MF,GO:0003682,chromatin binding,IDA
ZC3H12A,MF,GO:0003723,RNA binding,IDA
ZC3H12A,MF,GO:0003723,RNA binding,IEA
ZC3H12A,MF,GO:0003729,mRNA binding,IBA
ZC3H12A,MF,GO:0003729,mRNA binding,IDA
ZC3H12A,MF,GO:0003730,mRNA 3'-UTR binding,IEA
ZC3H12A,MF,GO:0003730,mRNA 3'-UTR binding,ISS
ZC3H12A,MF,GO:0004518,nuclease activity,IEA
ZC3H12A,MF,GO:0004519,endonuclease activity,IEA
ZC3H12A,MF,GO:0004521,RNA endonuclease activity,IBA
ZC3H12A,MF,GO:0004521,RNA endonuclease activity,IEA
ZC3H12A,MF,GO:0004521,RNA endonuclease activity,ISS
ZC3H12A,MF,GO:0004532,RNA exonuclease activity,IEA
ZC3H12A,MF,GO:0004532,RNA exonuclease activity,ISS
ZC3H12A,MF,GO:0004540,RNA nuclease activity,IDA
ZC3H12A,MF,GO:0004843,cysteine-type deubiquitinase activity,IMP
ZC3H12A,MF,GO:0005515,protein binding,IPI
ZC3H12A,MF,GO:0008270,zinc ion binding,IEA
ZC3H12A,MF,GO:0016787,hydrolase activity,IEA
ZC3H12A,MF,GO:0035198,miRNA binding,IDA
ZC3H12A,MF,GO:0035613,RNA stem-loop binding,IEA
ZC3H12A,MF,GO:0035613,RNA stem-loop binding,ISS
ZC3H12A,MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,IEA
ZC3H12A,MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,ISS
ZC3H12A,MF,GO:0043022,ribosome binding,IEA
ZC3H12A,MF,GO:0043022,ribosome binding,ISS
ZC3H12A,MF,GO:0046872,metal ion binding,IEA
ZC3H12A,CC,GO:0000932,P-body,IDA
ZC3H12A,CC,GO:0000932,P-body,IEA
ZC3H12A,CC,GO:0005634,nucleus,IBA
ZC3H12A,CC,GO:0005634,nucleus,IDA
ZC3H12A,CC,GO:0005634,nucleus,IEA
ZC3H12A,CC,GO:0005654,nucleoplasm,IDA
ZC3H12A,CC,GO:0005654,nucleoplasm,TAS
ZC3H12A,CC,GO:0005737,cytoplasm,IDA
